,Total_Cash_Cost,Total_Cash_Cost,Total_Cash_Cost,Total_Cash_Cost,Total_Cash_Cost,Total_Cash_Cost,Capacity,Capacity,Capacity
,mean,median,min,max,std,count,sum,mean,count
country,,,,,,,,,
Chile,10279.02,11739.05,6518.12,12629.07,2979.88,6,458.5,76.42,6
Brazil,10438.65,9877.9,8641.89,15382.63,1924.62,11,277.98,25.27,11
Australia,10793.68,10780.92,8125.01,13609.8,1570.02,25,1080.27,43.21,25
China,12130.76,11663.58,5849.61,23650.0,3123.22,66,910.81,13.8,66
Argentina,12298.75,12392.57,6924.08,17947.0,2288.49,34,573.12,16.86,34
Canada,14304.64,13329.9,11760.67,18949.76,2353.19,15,244.57,16.3,15
Mali,14964.87,14330.41,13300.27,17898.38,2018.73,4,151.76,37.94,4
Zimbabwe,16037.18,16006.16,12671.4,20936.4,2850.93,7,255.95,36.56,7
Bolivia,16342.03,15189.62,14236.47,19600.0,2861.45,3,64.0,21.33,3
United States,17139.36,17291.26,9451.23,25000.0,3452.18,28,232.57,8.31,28
Namibia,19842.66,17825.94,14726.3,28992.45,6362.82,4,21.02,5.26,4
