Factor,Base_Value,Variation,Variation_Display,Percent_Change,Parity_Year
battery_cost_reduction,0.08,0.04,0.0400,-50.0%,2036
battery_cost_reduction,0.08,0.06,0.0600,-25.0%,2035
battery_cost_reduction,0.08,0.08,0.0800,0.0%,2033
battery_cost_reduction,0.08,0.1,0.1000,25.0%,2032
battery_cost_reduction,0.08,0.12,0.1200,50.0%,2031
incentives,7500.0,0.0,$0,N/A,2036
incentives,7500.0,5000.0,"$5,000",N/A,2036
incentives,7500.0,7500.0,"$7,500",N/A,2033
incentives,7500.0,10000.0,"$10,000",N/A,2029
incentives,7500.0,12500.0,"$12,500",N/A,2026
manufacturing_efficiency,0.03,0.015,0.0150,-50.0%,2035
manufacturing_efficiency,0.03,0.0225,0.0225,-25.0%,2034
manufacturing_efficiency,0.03,0.03,0.0300,0.0%,2033
manufacturing_efficiency,0.03,0.0375,0.0375,25.0%,2033
manufacturing_efficiency,0.03,0.045,0.0450,50.0%,2032
raw_material_costs,0.0,-0.03,-0.0300,-3.0%/yr,2032
raw_material_costs,0.0,-0.015,-0.0150,-3.0%/yr,2032
raw_material_costs,0.0,0.0,0.0000,0.0%,2033
raw_material_costs,0.0,0.015,0.0150,+3.0%/yr,2035
raw_material_costs,0.0,0.03,0.0300,+3.0%/yr,2036
