project,Status(as of 2025.1Q),Product Type,Region,country,Mine Operator,Geology,Geology(ML),Extraction Type,Extraction Type(ML),Resource,CP,Capacity,Total_Cash_Cost,status,P.Start
Yiliping,Existing operations,Carbonate,Asia,China,China Minmetals Corp,Salar,Salar,Direct Extraction,Direct Extraction,Brine,O,14.0,22107.780364899536,Ops,2019-06-01
Salar de Uyuni,Speculative projects,Carbonate,South America,Bolivia,Yacimientos de Litio Bolivianos,Salar,Salar,Direct Extraction,Direct Extraction,Brine,O,25.0,19600.0,Dev,2025-06-01
Qarhan I,Existing operations,Carbonate,Asia,China,"Golmud Zangge Lithium Industry Co., Ltd.",Salar,Salar,Direct Extraction,Direct Extraction,Brine,O,10.0,23650.0,Ops,2019-06-01
Balun Mahai,Existing operations,Carbonate,Asia,China,"Qinghai Jintai Lithium Co., Ltd.",Salar,Salar,Direct Extraction,Direct Extraction,Brine,O,3.0,22550.0,Ops,2017-06-01
Paradox,Speculative projects,Carbonate,North America,United States,Anson Resources Ltd,Oilfield,Oilfield,Direct Extraction,Direct Extraction,Brine,O,13.07,22770.0,Dev,2026-06-01
Prairie,Speculative projects,Concentrate,North America,Canada,Arizona Lithium Ltd,Oilfield,Oilfield,Direct Extraction,Direct Extraction,Brine,O,2.0,18949.759742635022,Dev,2027-06-01
Clayton Valley II,Speculative projects,,North America,United States,Pure Energy Minerals Ltd,Geothermal,Geothermal,Direct Extraction,Direct Extraction,Brine,X,10.0,19120.04810794624,Dev,2029-12-01
Magnolia,Speculative projects,,North America,United States,Albemarle Corp,Oilfield,Oilfield,Direct Extraction,Direct Extraction,Brine,X,0.0,20297.62172504756,Dev,2029-12-01
South West Arkansas,Speculative projects,,North America,United States,Standard Lithium Ltd,Oilfield,Oilfield,Direct Extraction,Direct Extraction,Brine,X,0.0,20297.62172504756,Dev,2029-12-01
EuGeLi,Speculative projects,,Europe,France,Eramet SA,Geothermal,Geothermal,Direct Extraction,Direct Extraction,Brine,X,10.0,19175.18809970298,Dev,2029-12-01
Lazio,Speculative projects,,Europe,Italy,Altamin Limited,Geothermal,Geothermal,Direct Extraction,Direct Extraction,Brine,X,0.0,24142.021792378688,Dev,2029-12-01
Alvarrões,Existing operations,Concentrate,Europe,Portugal,Felmica Minerais Industriais SA,Lepidolite,Lepidolite,Open pit,Open pit,Pegmatite,X,4.26,20158.28686879276,Ops,2015-03-01
Karibib,Existing operations,Concentrate,Africa,Namibia,Desert Lion Energy Pty. Ltd.,Lepidolite,Lepidolite,Open pit,Open pit,Pegmatite,X,1.0,28992.44749437233,Ops,2024-12-01
Arcadia,Existing operations,Concentrate,Africa,Zimbabwe,"Zhejiang Huayou Cobalt Co., Ltd","Petalite, Spodumene",Spodumene,Open pit,Open pit,Pegmatite,X,51.93,20936.402496725736,Ops,2023-06-01
Uis II,Speculative projects,,Africa,Namibia,Askari Metals Ltd,"Lepidolite, Spodumene",Lepidolite,Open pit,Open pit,Pegmatite,X,0.0,19134.83115282023,Dev,2029-12-01
Sonora,Speculative projects,Carbonate,South America,Mexico,Bacanora Lithium PLC,Clay,Clay,Open pit,Open pit,Sedimentary,X,0.0,19669.56800794211,Dev,2029-12-01
Boron,Existing operations,Carbonate,North America,United States,U.S. Borax Inc,Clay,Clay,Tailings,Tailings,Sedimentary,X,1.5,25000.0,Ops,2024-03-01
Big Sandy,Speculative projects,,North America,United States,Arizona Lithium Ltd,Clay,Clay,Open pit,Open pit,Sedimentary,X,0.0,19669.56800794211,Dev,2029-12-01
Clayton North,Speculative projects,,North America,United States,HiTech Minerals Inc,Clay,Clay,Open pit,Open pit,Sedimentary,X,0.0,19669.56800794211,Dev,2029-12-01
McDermitt,Speculative projects,,North America,United States,HiTech Minerals Inc,Clay,Clay,Open pit,Open pit,Sedimentary,X,0.0,19669.56800794211,Dev,2029-12-01
Tonopah Flats,Speculative projects,,North America,United States,American Battery Technology Co,Clay,Clay,Open pit,Open pit,Sedimentary,X,0.0,19669.56800794211,Dev,2029-12-01
Tonopah II,Speculative projects,,North America,United States,American Lithium Corp,Clay,Clay,Open pit,Open pit,Sedimentary,X,0.0,19669.56800794211,Dev,2029-12-01
Zeus,Speculative projects,,North America,United States,Noram Lithium Corp,Clay,Clay,Open pit,Open pit,Sedimentary,X,0.0,19669.56800794211,Dev,2029-12-01
