project,Region,country,Status(as of 2025.1Q),Extraction Type,Resource,Total_Cash_Cost,Capacity,Cost_Quartile
Zabuye,Asia,China,Existing operations,Evaporation,Brine,5849.60844281142,5.0,Q1 (Low Cost)
Salar de Atacama I,South America,Chile,Existing operations,Evaporation,Brine,6518.115316113661,84.5,Q1 (Low Cost)
Salar de Atacama II,South America,Chile,Existing operations,Evaporation,Brine,6518.115316113661,210.0,Q1 (Low Cost)
Olaroz,South America,Argentina,Existing operations,Evaporation,Brine,6924.080400000001,42.5,Q1 (Low Cost)
Tres Quebradas,South America,Argentina,Committed projects,Evaporation,Brine,7000.0,20.0,Q1 (Low Cost)
Salar del Hombre Muerto,South America,Argentina,Existing operations,Direct Extraction,Brine,7610.369300546326,51.2,Q1 (Low Cost)
Yajiang Cuola,Asia,China,Possible projects,"Open pit, Underground",Pegmatite,7713.441299365129,13.0,Q1 (Low Cost)
Dechenongba,Asia,China,Probable projects,Open pit,Pegmatite,8084.007333085957,44.51,Q1 (Low Cost)
Mt Holland Phase 2,Oceania,Australia,Speculative projects,Open pit,Pegmatite,8125.008315762083,50.0,Q1 (Low Cost)
Greenbushes,Oceania,Australia,Existing operations,Open pit,Pegmatite,8143.506,246.31,Q1 (Low Cost)
Rapasaari and Syväjärvi,Europe,Finland,Committed projects,"Open pit, Underground",Pegmatite,8152.367599403604,12.6,Q1 (Low Cost)
Lakkor Tso Salt Lake,Asia,China,Existing operations,Direct Extraction,Brine,8329.278502557512,11.869902,Q1 (Low Cost)
Zabuye Phase 2,Asia,China,Existing operations,Evaporation,Brine,8482.547362327401,12.0,Q1 (Low Cost)
Mina da Cachoeira,South America,Brazil,Existing operations,Underground,Pegmatite,8641.89,6.0,Q1 (Low Cost)
Greenbushes Phase 5,Oceania,Australia,Probable projects,Open pit,Pegmatite,8662.5,77.16,Q1 (Low Cost)
Greenbushes Phase 4,Oceania,Australia,Committed projects,Open pit,Pegmatite,8662.5,77.2,Q1 (Low Cost)
Pilgangoora Phase 4,Oceania,Australia,Probable projects,Open pit,Pegmatite,8735.12556599949,80.0,Q1 (Low Cost)
Jiezechaka,Asia,China,Existing operations,Direct Extraction,Brine,8918.28818673015,9.0,Q1 (Low Cost)
Neves,South America,Brazil,Committed projects,Open pit,Pegmatite,8988.073588105086,44.4,Q1 (Low Cost)
Mt Holland,Oceania,Australia,Existing operations,Open pit,Pegmatite,9043.07278090496,50.0,Q1 (Low Cost)
Aketasi,Asia,China,Speculative projects,Open pit,Pegmatite,9109.419451255992,10.0,Q1 (Low Cost)
Murong,Asia,China,Probable projects,Open pit,Pegmatite,9255.733462425038,7.0,Q1 (Low Cost)
Centenario-Ratones Phase 2,South America,Argentina,Speculative projects,Direct Extraction,Brine,9346.763154580372,50.0,Q1 (Low Cost)
Salinas,South America,Brazil,Speculative projects,Open pit,Pegmatite,9386.127848093187,55.0,Q1 (Low Cost)
Chaerhan Lake,Asia,china,Existing operations,Direct Extraction,Brine,9426.19624119661,38.771974,Q1 (Low Cost)
Barkam Phase 2,Asia,China,Probable projects,Underground,Pegmatite,9446.657885056546,32.89,Q1 (Low Cost)
Silver Peak,North America,United States,Existing operations,Evaporation,Brine,9451.22672791544,6.0,Q1 (Low Cost)
Baqiancuo,Asia,China,Existing operations,Direct Extraction,Brine,9500.0,10.0,Q1 (Low Cost)
Lijiagou Phase 2,Asia,China,Possible projects,Open pit,Pegmatite,9691.321030907442,22.5,Q1 (Low Cost)
Jiajika Phase 2,Asia,China,Speculative projects,Open pit,Pegmatite,9725.31421596749,17.0,Q1 (Low Cost)
Mibra,South America,Brazil,Existing operations,Open pit,Pegmatite,9760.381510055542,12.24,Q1 (Low Cost)
Mibra Phase 2,South America,Brazil,Speculative projects,Open pit,Pegmatite,9859.780813334559,5.44,Q1 (Low Cost)
Grota do Cirilo Phase 2,South America,Brazil,Committed projects,Open pit,Pegmatite,9877.895640948784,35.0,Q1 (Low Cost)
Grota do Cirilo Phase 3,South America,Brazil,Possible projects,Open pit,Pegmatite,9877.895640948784,35.0,Q1 (Low Cost)
East Taijnar,Asia,China,Existing operations,Evaporation,Brine,9996.752562340114,20.0,Q1 (Low Cost)
Cauchari-Olaroz,South America,Argentina,Existing operations,Evaporation,Brine,10056.782400000002,40.0,Q1 (Low Cost)
Bandeira,South America,Brazil,Possible projects,Underground,Pegmatite,10080.471073124168,24.2,Q1 (Low Cost)
Kachi,South America,Argentina,Speculative projects,Direct Extraction,Brine,10142.78751631923,18.0,Q1 (Low Cost)
West Taijnar I,Asia,China,Existing operations,"Evaporation,Direct Extraction",Brine,10229.96276241484,10.0,Q1 (Low Cost)
Qarhan II,Asia,China,Existing operations,Direct Extraction,Brine,10249.886855718209,40.0,Q1 (Low Cost)
Qarhan II Phase 2,Asia,China,Committed projects,Direct Extraction,Brine,10249.886855718209,37.0,Q1 (Low Cost)
Finniss,Oceania,Australia,Existing operations,"Open pit, Underground",Pegmatite,10249.98891784375,24.81,Q1 (Low Cost)
CBL,South America,Brazil,Existing operations,Open pit,Pegmatite,10385.876837685471,0.0,Q1 (Low Cost)
West Taijnar II,Asia,China,Existing operations,Direct Extraction,Brine,10457.83803300219,5.0,Q1 (Low Cost)
East Taijnar Phase 2,Asia,China,Probable projects,Direct Extraction,Brine,10523.80286486723,10.0,Q1 (Low Cost)
Qarhan I Phase 2,Asia,China,Possible projects,Direct Extraction,Brine,10523.80286486723,10.0,Q1 (Low Cost)
Da Qaidam I Phase 2,Asia,China,Speculative projects,Evaporation,Brine,10565.65072116382,10.75,Q1 (Low Cost)
Sal de los Angeles,South America,Argentina,Existing operations,Direct Extraction,Brine,10720.06115661863,8.0,Q1 (Low Cost)
Qarhan II Phase 3,Asia,China,Possible projects,Direct Extraction,Brine,10760.655542787808,30.0,Q1 (Low Cost)
Kathleen Valley Phase 2,Oceania,Australia,Speculative projects,Underground,Pegmatite,10780.92150454077,0.0,Q1 (Low Cost)
Barrow Creek,Oceania,Australia,Speculative projects,Open pit,Pegmatite,10780.92150454077,0.0,Q1 (Low Cost)
Ngungaju,Oceania,Australia,Existing operations,Open pit,Pegmatite,10780.92150454077,0.0,Q1 (Low Cost)
Wodgina Phase 3,Oceania,Australia,Possible projects,Open pit,Pegmatite,10780.92150454077,0.0,Q1 (Low Cost)
Mt Edon,Oceania,Australia,Speculative projects,Open pit,Pegmatite,10780.92150454077,0.0,Q1 (Low Cost)
Mt Bevan,Oceania,Australia,Speculative projects,Open pit,Pegmatite,10780.92150454077,0.0,Q1 (Low Cost)
Mallina,Oceania,Australia,Speculative projects,Open pit,Pegmatite,10780.92150454077,0.0,Q1 (Low Cost)
Mt Ida,Oceania,Australia,Speculative projects,Open pit,Pegmatite,10780.92150454077,0.0,Q1 (Low Cost)
Marble Bar,Oceania,Australia,Speculative projects,Open pit,Pegmatite,10780.92150454077,0.0,Q1 (Low Cost)
Hotan,Asia,China,Existing operations,Open pit,Pegmatite,10940.02599752995,20.0,Q2
Jiajika,Asia,China,Existing operations,Open pit,Pegmatite,10940.07828335946,29.58,Q2
Salar de Atacama II Phase 6,South America,Chile,Probable projects,Direct Extraction,Brine,10947.40134441718,70.0,Q2
West Taijnar III,Asia,China,Existing operations,Direct Extraction,Brine,11025.66705268411,20.0,Q2
Laguocuo Phase 2,Asia,China,Possible projects,Direct Extraction,Brine,11052.596582242391,21.75,Q2
West Taijnar II Phase 2,Asia,China,Speculative projects,Direct Extraction,Brine,11107.0938083798,14.9,Q2
Jiezechaka Phase 2,Asia,China,Probable projects,Direct Extraction,Brine,11147.45898760657,18.0,Q2
Laguocuo,Asia,China,Committed projects,Direct Extraction,Brine,11147.45898760657,18.0,Q2
Great Salt Lake,North America,United States,Existing operations,Evaporation,Brine,11248.34643201336,9.0,Q2
Lijiagou,Asia,China,Existing operations,Open pit,Pegmatite,11321.19764393718,0.0,Q2
Pilgangoora,Oceania,Australia,Existing operations,Open pit,Pegmatite,11385.945716576176,87.45,Q2
Kathleen Valley,Oceania,Australia,Existing operations,"Open pit, Underground",Pegmatite,11450.0,81.6,Q2
Bald Hill,Oceania,Australia,Existing operations,Open pit,Pegmatite,11450.0,20.4,Q2
Tolillar,South America,Argentina,Speculative projects,Direct Extraction,Brine,11568.2604955992,25.0,Q2
Pastos Grandes,South America,Argentina,Speculative projects,Evaporation,Brine,11657.356481722269,24.0,Q2
Ningdu Heyuan,Asia,China,Existing operations,Open pit,Pegmatite,11663.577751652792,7.23,Q2
Yichun Xinfang Tanni,Asia,China,Existing operations,Open pit,Pegmatite,11663.577751652792,10.0,Q2
