,Total_Cash_Cost,Total_Cash_Cost,Total_Cash_Cost,Total_Cash_Cost,Total_Cash_Cost,Total_Cash_Cost,Capacity,Capacity,Capacity
,mean,median,min,max,std,count,sum,mean,count
Start_Year,,,,,,,,,
2015,9944.25,8143.51,5849.61,20158.29,4743.61,11,735.77,66.89,11
2016,11881.46,11843.04,10229.96,13609.8,1388.28,4,142.19,35.55,4
2017,15317.68,13528.58,11663.58,22550.0,4959.1,4,65.23,16.31,4
2018,10943.55,11385.95,9760.38,11663.58,807.23,5,135.09,27.02,5
2019,19220.05,22107.78,11902.37,23650.0,6384.04,3,24.0,8.0,3
2022,10790.08,11014.63,8641.89,12475.28,1271.99,8,211.81,26.48,8
2023,13268.42,12515.51,8918.29,20936.4,3054.78,17,424.16,24.95,17
2024,13985.8,12479.22,8329.28,28992.45,5761.03,15,326.45,21.76,15
2025,12265.01,12092.81,8482.55,19600.0,2639.5,19,429.67,22.61,19
2026,12251.41,11761.66,7000.0,22770.0,3342.42,24,563.34,23.47,24
2027,12575.44,12611.65,7713.44,18949.76,2776.87,25,491.26,19.65,25
2028,14272.78,14336.27,8735.13,18344.56,2216.14,25,544.61,21.78,25
2029,14803.52,14675.72,8084.01,24142.02,3439.73,66,474.22,7.19,66
