DEXUSEU,DEXKOUS,DTWEXBGS,DTWEXM
,,,
1.2015,1103.73,102.9027,85.7577
1.1982666666666666,1105.51,103.101,85.90566666666666
1.1950333333333334,1107.29,103.2993,86.05363333333334
1.1918,1109.07,103.4976,86.2016
1.1936,1098.14,103.2938,86.0471
1.182,1101.51,103.6316,86.7411
1.1811,1096.19,103.2799,86.6519
1.183,1086.14,103.1213,86.5625
1.1830666666666667,1085.1766666666667,103.15993333333334,86.5979
1.1831333333333334,1084.2133333333334,103.19856666666666,86.6333
1.1832,1083.25,103.2372,86.6687
1.1779,1080.42,103.27,86.8629
1.1806,1080.45,103.0903,86.6097
1.1598,1077.94,103.0829,86.705
1.1517,1076.68,103.2189,86.9265
1.15275,1079.3025,103.295,87.003
1.1538,1081.9250000000002,103.37110000000001,87.0795
1.15485,1084.5475000000001,103.44720000000001,87.156
1.1559,1087.17,103.5233,87.2325
1.1584,1081.94,103.7858,87.6474
1.1414,1081.75,103.9271,88.232
1.1279,1075.75,104.3676,88.8135
1.1282666666666665,1076.9733333333334,104.40566666666666,88.85333333333334
1.1286333333333334,1078.1966666666667,104.44373333333334,88.89316666666667
1.129,1079.42,104.4818,88.933
1.137,1075.31,104.1646,88.5382
1.1342,1084.84,104.4737,88.7602
1.1308,1098.6,105.2763,89.5227
1.129,1104.3,105.5884,89.6269
1.1305666666666667,1102.7366666666667,105.46086666666666,89.48456666666667
1.1321333333333332,1101.1733333333332,105.33333333333333,89.34223333333334
1.1337,1099.61,105.2058,89.1999
1.1462,1096.06,104.6063,88.5294
1.1418,1086.79,104.785,88.8298
1.1432,1087.05,104.4915,88.4552
1.133,1097.26,105.1283,89.2113
1.1325333333333334,1096.9733333333334,105.08183333333334,89.16563333333333
1.1320666666666666,1096.6866666666667,105.03536666666666,89.11996666666666
1.1316,1096.4,104.9889,89.0743
1.1316,1098.61,105.2897,89.2924
1.13,1108.19,105.7901,89.7245
1.141,1100.87,104.9385,88.7701
1.1408,1097.2,104.8452,88.7433
1.140475,1099.7325,104.92644,88.80644000000001
1.14015,1102.2649999999999,105.00768000000001,88.86958
1.139825,1104.7975,105.08892,88.93272
1.1395,1107.33,105.17016000000001,88.99586
1.1342,1112.82,105.2514,89.059
1.1392,1110.69,105.1407,88.9089
1.1372,1110.06,105.3387,88.991
1.1363333333333334,1109.4566666666667,105.40443333333333,89.07686666666666
1.1354666666666666,1108.8533333333332,105.47016666666667,89.16273333333334
1.1346,1108.25,105.5359,89.2486
1.1307,1108.05,105.5472,89.4719
1.1363,1101.53,105.0503,88.8158
1.1212,1100.33,105.5021,89.5837
1.1197,1100.65,105.5981,89.6803
1.1194666666666666,1100.92,105.67043333333334,89.7392
1.1192333333333333,1101.19,105.74276666666667,89.7981
1.119,1101.46,105.8151,89.857
1.1212,1095.65,105.5562,89.5246
1.107,1100.2,106.1333,90.096
1.1006,1100.11,106.7835,90.8203
1.0855,1110.36,107.4337,91.5446
1.0852,1111.6333333333332,107.46243333333334,91.54886666666667
1.0849,1112.9066666666668,107.49116666666667,91.55313333333334
1.0846,1114.18,107.5199,91.5574
1.0707,1123.32,108.1165,92.199
1.0576,1131.33,108.5235,93.091
1.0615,1120.13,108.1741,92.7449
1.0524,1135.7,108.9174,93.4008
1.0541,1133.6733333333334,108.82566666666666,93.3095
1.0558,1131.6466666666665,108.73393333333334,93.21820000000001
1.0575,1129.62,108.6422,93.1269
1.0605,1127.69,108.5805,93.0676
1.0643,1127.09,108.408,92.8928
1.0621,1121.21,108.1826,92.8746
1.0792,1113.87,107.1671,91.6875
1.0837333333333332,1111.4733333333334,106.94546666666668,91.42876666666666
1.0882666666666667,1109.0766666666666,106.72383333333333,91.17003333333334
1.0928,1106.68,106.5022,90.9113
1.0908,1104.2,106.4401,90.98
1.0986,1099.72,106.2636,90.6375
1.0919,1103.59,106.5582,90.8036
1.0891,1103.6,106.8916,91.1357
1.0866666666666667,1104.53,107.0591,91.3676
1.0842333333333334,1105.46,107.22659999999999,91.5995
1.0818,1106.39,107.3941,91.8314
1.0741,1107.71,107.4396,92.0599
1.0768,1098.1,107.06,91.7881
1.0874,1089.49,106.6738,91.3544
1.099,1085.65,105.8861,90.5271
1.0996,1084.8933333333334,105.85326666666667,90.4931
1.1002,1084.1366666666668,105.82043333333333,90.4591
1.1008,1083.38,105.7876,90.4251
1.085,1093.76,106.4488,91.3037
1.0818,1093.77,106.4231,91.347
1.0671,1093.8,107.0335,92.2056
1.0598,1093.13,107.4526,92.5812
1.0592666666666668,1095.5566666666668,107.552,92.61026666666666
1.0587333333333333,1097.9833333333333,107.6514,92.63933333333334
1.0582,1100.41,107.7508,92.6684
1.0672,1090.76,107.0547,91.8438
1.0596,1095.07,107.1855,91.9237
1.0742,1086.89,106.2761,90.8353
1.078,1081.99,106.329,90.7097
1.0774333333333335,1081.75,106.38273333333333,90.73633333333333
1.0768666666666666,1081.51,106.43646666666666,90.76296666666666
1.0763,1081.27,106.4902,90.7896
1.0758,1081.54,106.5582,90.9402
1.0729,1080.64,106.5815,91.0597
1.0803,1080.0,106.1658,90.5004
1.0876,1075.85,105.905,90.1308
1.0881333333333332,1074.2366666666667,105.83303333333333,90.0604
1.0886666666666667,1072.6233333333332,105.76106666666666,89.99
1.0892,1071.01,105.6891,89.9196
1.0979,1063.03,105.1234,89.319
1.1174,1066.48,104.5634,88.3547
1.1162,1076.74,105.312,89.0096
1.1194,1080.22,105.6382,89.1848
1.1177666666666666,1080.5433333333333,105.6481,89.18283333333333
1.1161333333333334,1080.8666666666668,105.658,89.18086666666666
1.1145,1081.19,105.6679,89.1789
1.1174,1080.46,105.2396,88.7973
1.1345,1077.23,104.6935,88.0236
1.1283,1093.55,105.1941,88.5882
1.1241,1087.28,104.8424,88.5252
1.1208,1089.9833333333333,104.99743333333333,88.6474
1.1175000000000002,1092.6866666666667,105.15246666666667,88.7696
1.1142,1095.39,105.3075,88.8918
1.124,1093.81,104.8924,88.2035
1.1372,1089.72,104.3608,87.5127
1.1368,1089.46,104.2359,87.6232
1.1428,1083.05,104.0202,87.5059
1.1403333333333334,1084.7633333333333,104.21573333333333,87.72236666666666
1.1378666666666666,1086.4766666666667,104.41126666666668,87.93883333333333
1.1354,1088.19,104.6068,88.1553
1.1151,1093.94,105.3448,89.1839
1.1079,1097.62,105.5605,89.5066
1.1126,1092.41,105.3808,89.2143
1.1033,1093.46,105.8487,89.8915
1.099375,1096.6100000000001,106.06887499999999,90.16682499999999
1.09545,1099.76,106.28905,90.44215
1.0915249999999999,1102.9099999999999,106.509225,90.71747500000001
1.0876,1106.06,106.7294,90.9928
1.0888,1107.84,106.908,91.1925
1.0914,1109.86,106.92,91.1521
1.0994,1111.99,106.7388,90.8242
1.0967,1113.1966666666667,106.90046666666666,91.02726666666668
1.0939999999999999,1114.4033333333332,107.06213333333334,91.23033333333333
1.0913,1115.61,107.2238,91.4334
1.113,1109.34,106.4507,90.2311
1.1285,1104.33,106.1443,89.6853
1.1271,1112.56,106.4725,89.8962
1.1108,1121.18,107.1336,90.6846
1.1149333333333333,1121.4366666666667,107.01216666666667,90.47353333333334
1.1190666666666667,1121.6933333333334,106.89073333333333,90.26246666666667
1.1232,1121.95,106.7693,90.0514
1.1284,1119.38,106.2238,89.4579
1.1307,1110.32,105.8037,89.0339
1.1236,1113.24,106.0934,89.5025
1.1278,1111.63,105.9015,89.2021
1.1274,1112.7333333333333,105.93396666666666,89.24476666666666
1.127,1113.8366666666668,105.96643333333334,89.28743333333334
1.1266,1114.94,105.9989,89.3301
1.1238,1118.08,106.0473,89.3969
1.1244,1122.83,106.058,89.3945
1.1404,1101.55,105.102,88.3599
1.1335,1102.64,105.4496,88.7238
1.1349333333333333,1101.3766666666668,105.42793333333334,88.71526666666666
1.1363666666666665,1100.1133333333332,105.40626666666667,88.70673333333333
1.1378,1098.85,105.3846,88.6982
1.119,1104.54,105.9678,89.5408
1.1178,1110.67,106.2522,89.8757
1.1196,1111.05,106.1515,89.5816
1.1156,1122.31,106.4116,89.7886
1.1164,1121.2366666666667,106.40056666666668,89.7065
1.1172,1120.1633333333332,106.38953333333333,89.6244
1.118,1119.09,106.3785,89.5423
1.1154,1117.34,106.5191,89.8171
1.1084,1123.89,107.0101,90.4411
1.109,1119.95,106.9106,90.4697
1.10865,1121.3575,106.966525,90.500775
1.1082999999999998,1122.7649999999999,107.02244999999999,90.53184999999999
1.10795,1124.1725,107.078375,90.56292499999999
1.1076,1125.58,107.1343,90.594
1.0952,1133.75,107.785,91.3568
1.1072,1131.75,107.4734,90.7657
1.1025,1133.69,107.5595,91.0129
1.115,1127.29,107.213,90.6362
1.1106666666666667,1129.5033333333333,107.33696666666667,90.84566666666667
1.1063333333333334,1131.7166666666667,107.46093333333333,91.05513333333333
1.102,1133.93,107.5849,91.2646
1.1015,1142.75,107.4843,91.1964
1.0965,1146.42,108.0149,91.8313
1.0898,1145.24,108.1726,92.0911
1.0848,1148.48,108.5374,92.4188
1.0848666666666666,1151.1133333333335,108.58973333333334,92.42206666666667
1.0849333333333333,1153.7466666666667,108.64206666666666,92.42533333333334
1.085,1156.38,108.6944,92.4286
1.0927,1148.33,108.3893,92.0637
1.0884,1156.49,108.7817,92.362
1.0976,1160.64,108.7565,92.0648
1.0976,1169.02,109.0174,92.1666
1.1021333333333332,1168.5966666666666,108.90906666666666,91.93953333333333
1.1066666666666667,1168.1733333333334,108.80073333333334,91.71246666666667
1.1112,1167.75,108.6924,91.4854
1.1055,1161.09,108.6881,91.568
1.1026,1158.49,108.604,91.6246
1.0914,1173.42,109.4328,92.3826
1.1028,1159.7,108.7819,91.9203
1.1006,1162.6766666666667,108.92593333333333,92.07806666666667
1.0984,1165.6533333333334,109.06996666666666,92.23583333333333
1.0962,1168.63,109.214,92.3936
1.0953,1161.2,109.2244,92.362
1.0868,1174.4,109.842,92.9313
1.0922,1163.25,109.722,92.7097
1.0958,1164.0,109.4376,92.5141
1.097,1163.23,109.3561,92.42546666666667
1.0982,1162.46,109.2746,92.33683333333333
1.0994,1161.69,109.1931,92.2482
1.1042,1181.36,109.9464,92.3403
1.1198,1175.03,109.4655,91.212
1.1144,1176.02,109.9025,91.6863
1.111,1177.62,109.9174,91.7807
1.1099333333333332,1178.9233333333332,109.99276666666667,91.83
1.1088666666666667,1180.2266666666667,110.06813333333334,91.8793
1.1078,1181.53,110.1435,91.9286
1.1028,1185.85,110.2504,92.0601
1.1061,1184.35,110.4333,92.0872
1.12,1185.63,110.1077,91.311
1.1356,1194.6,110.1443,90.7105
1.1430666666666667,1193.4433333333334,110.07306666666666,90.37206666666667
1.1505333333333332,1192.2866666666666,110.00183333333334,90.03363333333333
1.158,1191.13,109.9306,89.6952
1.141,1195.25,110.3394,90.6506
1.139,1185.52,110.5807,90.7639
1.1239,1170.49,110.4834,91.324
1.1172,1180.93,110.6714,91.7719
1.1179333333333332,1181.4666666666667,110.63496666666667,91.729
1.1186666666666667,1182.0033333333333,110.59853333333334,91.6861
1.1194,1182.54,110.5621,91.6432
1.1263,1179.78,110.4506,91.1948
1.1242,1183.46,110.7979,91.5646
1.1104,1188.07,110.8566,91.8858
1.1117,1196.4,111.1018,91.9256
1.113325,1196.1925,111.0249,91.81982500000001
1.1149499999999999,1195.9850000000001,110.94800000000001,91.71405
1.116575,1195.7775,110.8711,91.60827499999999
1.1182,1195.57,110.7942,91.5025
1.1165,1186.52,110.9225,91.7519
1.1262,1184.87,110.6331,91.3142
1.1338,1182.25,110.6109,91.1705
1.1327666666666667,1181.89,110.5741,91.15786666666666
1.1317333333333333,1181.53,110.5373,91.14523333333334
1.1307,1181.17,110.5005,91.1326
1.126,1178.69,110.6394,91.4077
1.1304,1169.77,110.1021,90.9984
1.1312,1163.11,110.1212,91.0359
1.1358,1164.13,109.8165,90.5877
1.1306666666666667,1169.1666666666667,110.09146666666668,90.88393333333333
1.1255333333333333,1174.2033333333334,110.36643333333333,91.18016666666666
1.1204,1179.24,110.6414,91.4764
1.1133,1186.1,111.1967,91.8303
1.116,1193.96,111.6287,91.9342
1.1252,1195.48,111.4454,91.6035
1.1192,1190.14,111.3725,91.9362
1.1206666666666667,1191.2,111.3788,91.87313333333333
1.1221333333333332,1192.26,111.38510000000001,91.81006666666667
1.1236,1193.32,111.3914,91.747
1.1246,1194.28,111.5219,91.8065
1.1162,1184.62,111.3311,92.1031
1.12,1180.04,111.0439,91.6013
1.1276,1175.48,110.7006,91.23
1.1250666666666667,1169.8333333333333,110.61523333333334,91.27473333333333
1.1225333333333334,1164.1866666666667,110.52986666666666,91.31946666666667
1.12,1158.54,110.4445,91.3642
1.1266,1160.7,110.1371,90.978
1.1249,1153.72,109.8162,90.9149
1.1282,1155.57,109.6452,90.7481
1.1363,1145.67,109.0782,90.3207
1.136775,1146.1075,109.161625,90.319575
1.13725,1146.545,109.24504999999999,90.31845
1.137725,1146.9825,109.328475,90.317325
1.1382,1147.42,109.4119,90.3162
1.1437,1140.39,109.1244,89.9491
1.1418,1120.9,108.6671,89.7123
1.136,1130.73,108.9956,90.1586
1.1346666666666665,1130.6766666666667,109.12566666666666,90.2455
1.1333333333333333,1130.6233333333332,109.25573333333334,90.3324
1.132,1130.57,109.3858,90.4193
1.1359,1128.64,109.3368,90.2639
1.1345,1137.09,109.7746,90.6328
1.114,1131.48,110.0342,91.4164
1.1016,1135.0,110.4329,92.1375
1.1027666666666667,1132.49,110.35823333333333,92.05943333333333
1.1039333333333332,1129.98,110.28356666666667,91.98136666666667
1.1051,1127.47,110.2089,91.9033
1.1052,1134.57,110.4875,92.0949
1.1066,1130.31,110.2334,91.9116
1.0963,1142.39,110.8083,92.4444
1.1042,1140.5,110.2079,91.8307
1.1036666666666668,1140.5,110.21153333333334,91.85773333333333
1.1031333333333333,1140.5,110.21516666666666,91.88476666666666
1.1026,1140.5,110.2188,91.9118
1.0946,1140.5,110.244,92.3006
1.0861,1136.45,110.7139,92.7765
1.0869,1140.5,110.8302,92.8565
1.0746,1140.5,111.7603,93.9096
1.0753,1147.14,111.8106,93.8396
1.076,1153.78,111.8609,93.7696
1.0767,1160.42,111.9112,93.6996
1.0686,1158.34,111.9919,94.0156
1.0727,1158.4699999999998,111.8942,93.84205
1.0768,1158.6,111.7965,93.6685
1.0722,1169.79,112.0264,93.9256
1.0717333333333334,1170.75,112.09089999999999,93.96406666666667
1.0712666666666666,1171.71,112.1554,94.00253333333333
1.0708,1172.67,112.2199,94.041
1.0634,1169.08,112.3141,94.3209
1.0638,1167.89,112.3663,94.3881
1.0746,1156.08,111.5749,93.6043
1.066,1151.63,111.7799,94.139
1.0640666666666667,1154.1333333333334,111.89076666666666,94.25353333333334
1.0621333333333334,1156.6366666666668,112.00163333333333,94.36806666666666
1.0602,1159.14,112.1125,94.4826
1.0652,1149.39,111.7638,94.1376
1.0616,1140.67,111.8936,94.2719
1.0606,1147.5500000000002,112.088,94.4226
1.0596,1154.43,112.2824,94.5733
1.0584666666666667,1152.75,112.3016,94.5998
1.0573333333333335,1151.0700000000002,112.3208,94.6263
1.0562,1149.39,112.34,94.6528
1.062,1149.39,112.1134,94.4438
1.0573,1149.39,112.3715,94.7289
1.0902,1149.39,111.6407,93.359
1.0884,1149.39,111.5463,93.3429
1.0869333333333333,1157.1533333333334,111.7994,93.51696666666666
1.0854666666666668,1164.9166666666667,112.0525,93.69103333333334
1.084,1172.68,112.3056,93.8651
1.0876,1179.6,112.5485,93.8934
1.0984,1181.75,112.1918,93.2645
1.0948,1176.39,112.2672,93.3286
1.1002,1188.0,112.7147,93.2573
1.1009666666666666,1187.4,112.72716666666666,93.2494
1.1017333333333335,1186.8,112.73963333333333,93.2415
1.1025,1186.2,112.7521,93.2336
1.0911,1176.66,112.8609,93.8606
1.0937,1177.19,112.9864,93.9207
1.0804,1187.7,113.8177,94.9732
1.0847,1178.04,113.2837,94.391
1.0871333333333333,1176.6499999999999,113.32726666666666,94.36793333333334
1.0895666666666668,1175.26,113.37083333333334,94.34486666666666
1.092,1173.87,113.4144,94.3218
1.0978,1169.26,113.211,93.9978
1.0875,1140.67,113.1847,94.2356
1.0955,1167.94,113.0496,93.7658
1.0962,1168.27,113.04872499999999,93.770925
1.0969,1168.6,113.04785,93.77605
1.0976,1168.93,113.046975,93.78117499999999
1.0983,1169.26,113.0461,93.7863
1.0916,1169.26,113.1664,94.006
1.0912,1177.53,113.4707,94.0808
1.0859,1169.26,113.3429,94.2472
1.0845,1174.81,113.54705,94.35197500000001
1.0831,1180.3600000000001,113.7512,94.45675
1.0817,1185.91,113.95535,94.561525
1.0803,1191.46,114.1595,94.6663
1.0743,1190.43,114.2649,94.9326
1.0762,1200.16,114.6177,95.0333
1.086,1193.05,114.6516,94.577
1.0885,1206.97,115.0095,94.6521
1.0882666666666667,1206.83,115.01096666666668,94.67706666666668
1.0880333333333334,1206.69,115.01243333333333,94.70203333333333
1.0878,1206.55,115.0139,94.727
1.0837,1208.95,115.3128,95.1846
1.0862,1208.95,115.1425,95.0987
1.0862,1211.28,115.3846,95.2875
1.0964,1216.95,115.7404,95.1338
1.09495,1214.115,115.759175,95.21912499999999
1.0935000000000001,1211.28,115.77795,95.30445
1.09205,1208.445,115.796725,95.389775
1.0906,1205.61,115.8155,95.4751
1.0908,1215.4,116.3498,95.4884
1.0833,1204.31,115.9833,95.2326
1.0814,1195.66,115.9042,95.16951666666667
1.0819999999999999,1195.2066666666667,115.8251,95.10643333333334
1.0826,1194.7533333333333,115.74600000000001,95.04335
1.0832,1194.3,115.6669,94.98026666666667
1.0846,1199.64,115.5878,94.91718333333334
1.0867,1199.25,115.5087,94.8541
1.0952,1204.08,115.2224,94.5195
1.0832,1210.04,115.5731,95.3746
1.0850666666666666,1207.7566666666667,115.4931,95.22596666666666
1.0869333333333333,1205.4733333333334,115.4131,95.07733333333334
1.0888,1203.19,115.3331,94.9287
1.0908,1212.01,115.553,94.8171
1.1051,1211.33,114.6144,93.4924
1.1199,1186.11,113.6012,92.5279
1.1131,1204.69,114.2935,93.1859
1.1144,1204.8266666666666,114.3407,93.11673333333333
1.1157,1204.9633333333334,114.3879,93.04756666666667
1.117,1205.1,114.4351,92.9784
1.13,1200.39,114.127,92.225
1.1222,1189.69,114.2877,92.6147
1.1362,1196.89,114.1845,91.765
1.1235,1205.13,114.2992,92.1875
1.121125,1208.7075,114.347025,92.34395
1.11875,1212.285,114.39484999999999,92.5004
1.1163750000000001,1215.8625000000002,114.442675,92.65684999999999
1.114,1219.44,114.4905,92.8133
1.114,1222.32,113.8634,92.5044
1.1092,1231.15,113.8897,92.6647
1.1127,1231.09,113.9558,92.5236
1.1090666666666666,1228.5,113.91159999999999,92.6419
1.1054333333333333,1225.9099999999999,113.8674,92.7602
1.1018,1223.32,113.8232,92.8785
1.1016,1230.05,114.177,93.0056
1.1021,1234.6,114.1716,92.8815
1.1026,1237.39,113.9222,92.6798
1.0932,1242.59,114.3708,93.1882
1.0910666666666666,1241.09,114.3278,93.1955
1.0889333333333333,1239.59,114.2848,93.2028
1.0868,1238.09,114.2418,93.2101
1.0847,1229.56,113.9265,93.1935
1.0845,1227.59,113.7965,93.2026
1.0948,1209.55,113.2482,92.5766
1.101,1195.09,112.6387,92.2166
1.1008,1196.7533333333333,112.6331,92.18373333333334
1.1006,1198.4166666666665,112.6275,92.15086666666666
1.1004,1200.08,112.6219,92.118
1.1028,1206.19,112.8465,92.0882
1.1022,1206.82,112.4268,91.8408
1.1162,1204.09,112.4191,91.5824
1.118,1184.56,111.741,91.1559
1.1155666666666668,1185.5033333333333,111.8836,91.3144
1.1131333333333333,1186.4466666666667,112.0262,91.4729
1.1107,1187.39,112.1688,91.6314
1.1112,1194.99,112.5545,91.7412
1.1075,1190.59,112.7759,92.0399
1.1316,1155.83,110.445,89.8565
1.1292,1160.11,110.4002,89.9368
1.1281333333333332,1159.1833333333332,110.51246666666667,90.05736666666667
1.1270666666666667,1158.2566666666667,110.62473333333332,90.17793333333334
1.126,1157.33,110.737,90.2985
1.1228,1154.58,110.7877,90.4955
1.1174,1166.59,111.5473,91.1568
1.1163,1168.09,111.816,91.3394
1.1164,1168.19,111.7698,91.3881
1.1179333333333334,1166.5900000000001,111.63246666666667,91.26393333333333
1.1194666666666666,1164.99,111.49513333333333,91.13976666666667
1.121,1163.39,111.3578,91.0156
1.1204,1164.69,111.3736,90.9598
1.133,1142.02,110.2301,89.9472
1.139,1138.86,109.9191,89.7172
1.1385,1147.15,110.2977,89.9376
1.1385333333333334,1148.55,110.33136666666667,89.8893
1.1385666666666667,1149.95,110.36503333333334,89.841
1.1386,1151.35,110.3987,89.7927
1.1374,1158.39,110.9478,90.0674
1.143,1155.28,110.5347,89.5687
1.1386,1156.81,110.8876,89.7562
1.1406,1148.89,110.4213,89.3861
1.1408,1146.5833333333335,110.2728,89.28156666666666
1.141,1144.2766666666666,110.1243,89.17703333333334
1.1412,1141.97,109.9758,89.0725
1.1395,1144.53,109.816,88.96
1.1281,1146.29,110.1436,89.4546
1.1262,1151.99,110.1691,89.629
1.1295,1144.83,110.1933,89.4733
1.1304,1144.7133333333334,110.12526666666666,89.40326666666667
1.1313,1144.5966666666666,110.05723333333333,89.33323333333333
1.1322,1144.48,109.9892,89.2632
1.1375,1126.01,109.2782,88.7208
1.133,1130.48,109.3926,88.8875
1.1301,1135.49,109.8533,89.206
1.1239,1147.85,110.2331,89.5893
1.1250666666666667,1147.82,110.21756666666666,89.51653333333333
1.1262333333333332,1147.79,110.20203333333333,89.44376666666666
1.1274,1147.76,110.1865,89.371
1.1318,1146.66,109.7496,89.0395
1.1322,1151.5,109.8483,89.1456
1.1325,1139.93,109.2148,88.5885
1.1441,1144.09,108.8274,87.9695
1.1465999999999998,1142.21,108.77526666666667,87.85363333333333
1.1491,1140.33,108.72313333333334,87.73776666666666
1.1516,1138.45,108.671,87.6219
1.1508,1148.69,109.3613,88.0097
1.1486,1164.59,109.9952,88.6156
